LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
0.000000,0.000000,1726714117.635303,409616.000,64872,2,AZ,1,100,-0.338
0.000000,0.000000,1726714117.675303,409656.000,64872,2,AZ,1,100,-0.332
0.000000,0.000000,1726714117.715303,409696.000,64887,3,AZ,1,100,-0.340
0.000000,0.000000,1726714117.755304,409736.000,64887,3,AZ,1,100,-0.330
0.000000,0.000000,1726714117.795304,409776.000,64887,3,AZ,1,100,-0.335
0.000000,0.000000,1726714117.835305,409816.000,64906,2,AZ,1,100,-0.335
0.000000,0.000000,1726714117.875305,409856.000,64906,2,AZ,1,100,-0.335
0.000000,0.000000,1726714117.915306,409896.000,64923,3,AZ,1,100,-0.333
0.000000,0.000000,1726714117.955306,409936.000,64923,3,AZ,1,100,-0.333
0.000000,0.000000,1726714117.995306,409976.000,64923,3,AZ,1,100,-0.335
0.000000,0.000000,1726714118.035307,410016.000,64941,2,AZ,1,100,-0.335
0.000000,0.000000,1726714118.075307,410056.000,64941,2,AZ,1,100,-0.336
0.000000,0.000000,1726714118.115308,410096.000,64957,3,AZ,1,100,-0.332
0.000000,0.000000,1726714118.155308,410136.000,64957,3,AZ,1,100,-0.333
0.000000,0.000000,1726714118.195309,410176.000,64957,3,AZ,1,100,-0.337
0.000000,0.000000,1726714118.235309,410216.000,64973,3,AZ,1,100,-0.333
0.000000,0.000000,1726714118.275309,410256.000,64973,3,AZ,1,100,-0.334
0.000000,0.000000,1726714118.315310,410296.000,64973,3,AZ,1,100,-0.332
0.000000,0.000000,1726714118.355310,410336.000,64990,2,AZ,1,100,-0.336
0.000000,0.000000,1726714118.395311,410376.000,64990,2,AZ,1,100,-0.336
0.000000,0.000000,1726714118.435311,410416.000,65007,3,AZ,1,100,-0.335
0.000000,0.000000,1726714118.475312,410456.000,65007,3,AZ,1,100,-0.331
0.000000,0.000000,1726714118.515312,410496.000,65007,3,AZ,1,100,-0.334
0.000000,0.000000,1726714118.555312,410536.000,65022,2,AZ,1,100,-0.335
0.000000,0.000000,1726714118.595313,410576.000,65022,2,AZ,1,100,-0.336
0.000000,0.000000,1726714118.635313,410616.000,65038,3,AZ,1,100,-0.330
0.000000,0.000000,1726714118.675314,410656.000,65038,3,AZ,1,100,-0.332
0.000000,0.000000,1726714118.715314,410696.000,65038,3,AZ,1,100,-0.334
0.000000,0.000000,1726714118.755315,410736.000,65055,2,AZ,1,100,-0.332
0.000000,0.000000,1726714118.795315,410776.000,65055,2,AZ,1,100,-0.333
0.000000,0.000000,1726714118.835315,410816.000,65074,3,AZ,1,100,-0.333
0.000000,0.000000,1726714118.875316,410856.000,65074,3,AZ,1,100,-0.330
0.000000,0.000000,1726714118.915316,410896.000,65074,3,AZ,1,100,-0.333
0.000000,0.000000,1726714118.955317,410936.000,65089,2,AZ,1,100,-0.333
0.000000,0.000000,1726714118.995317,410976.000,65089,2,AZ,1,100,-0.332
