LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
0.000000,0.000000,1726714056.906659,348888.000,54878,1,SF,1,100,1.0283
0.000000,0.000000,1726714057.172662,349154.000,54929,1,SF,1,100,1.0164
0.000000,0.000000,1726714057.505665,349487.000,54977,1,SF,1,100,1.0046
0.000000,0.000000,1726714057.905669,349887.000,55044,1,SF,1,100,0.9930
0.000000,0.000000,1726714058.172672,350154.000,55097,1,SF,1,100,0.9815
0.000000,0.000000,1726714058.505676,350487.000,55145,1,SF,1,100,0.9701
0.000000,0.000000,1726714058.839679,350821.000,55194,1,SF,1,100,0.9589
0.000000,0.000000,1726714059.239684,351221.000,55265,1,SF,1,100,0.9478
0.000000,0.000000,1726714059.505686,351487.000,55315,1,SF,1,100,0.9369
0.000000,0.000000,1726714059.839690,351821.000,55364,1,SF,1,100,0.9260
0.000000,0.000000,1726714060.239694,352221.000,55433,1,SF,1,100,0.9153
0.000000,0.000000,1726714060.505697,352487.000,55481,1,SF,1,100,0.9047
0.000000,0.000000,1726714060.839701,352821.000,55531,1,SF,1,100,0.8943
0.000000,0.000000,1726714061.172704,353154.000,55582,1,SF,1,100,0.8839
0.000000,0.000000,1726714061.505708,353487.000,55638,1,SF,1,100,0.8737
0.000000,0.000000,1726714061.905712,353887.000,55704,1,SF,1,100,0.8636
0.000000,0.000000,1726714062.238715,354220.000,55757,1,SF,1,100,0.8536
0.000000,0.000000,1726714062.505718,354487.000,55806,1,SF,1,100,0.8437
0.000000,0.000000,1726714062.838722,354820.000,55854,1,SF,1,100,0.8340
0.000000,0.000000,1726714063.238726,355220.000,55921,1,SF,1,100,0.8243
0.000000,0.000000,1726714063.505729,355487.000,55972,1,SF,1,100,0.8148
0.000000,0.000000,1726714063.838732,355820.000,56020,1,SF,1,100,0.8054
0.000000,0.000000,1726714064.238737,356220.000,56089,1,SF,1,100,0.7960
0.000000,0.000000,1726714064.505739,356487.000,56138,1,SF,1,100,0.7868
0.000000,0.000000,1726714064.838743,356820.000,56188,1,SF,1,100,0.7777
0.000000,0.000000,1726714065.171746,357153.000,56237,1,SF,1,100,0.7687
0.000000,0.000000,1726714065.571751,357553.000,56306,1,SF,1,100,0.7598
0.000000,0.000000,1726714065.838754,357820.000,56354,1,SF,1,100,0.7510
0.000000,0.000000,1726714066.171757,358153.000,56403,1,SF,1,100,0.7424
0.000000,0.000000,1726714066.505761,358487.000,56460,1,SF,1,100,0.7338
0.000000,0.000000,1726714066.838764,358820.000,56511,1,SF,1,100,0.7253
0.000000,0.000000,1726714067.238768,359220.000,56576,1,SF,1,100,0.7169
0.000000,0.000000,1726714067.505771,359487.000,56626,1,SF,1,100,0.7086
0.000000,0.000000,1726714067.838775,359820.000,56679,1,SF,1,100,0.7004
0.000000,0.000000,1726714068.171778,360153.000,56727,1,SF,1,100,0.6923
0.000000,0.000000,1726714068.571782,360553.000,56792,1,SF,1,100,0.6843
0.000000,0.000000,1726714068.904786,360886.000,56847,1,SF,1,100,0.6764
0.000000,0.000000,1726714069.171789,361153.000,56895,1,SF,1,100,0.6686
0.000000,0.000000,1726714069.504792,361486.000,56946,1,SF,1,100,0.6608
0.000000,0.000000,1726714069.904797,361886.000,57013,1,SF,1,100,0.6532
0.000000,0.000000,1726714070.171799,362153.000,57065,1,SF,1,100,0.6456
0.000000,0.000000,1726714070.504803,362486.000,57114,1,SF,1,100,0.6381
0.000000,0.000000,1726714070.837807,362819.000,57164,1,SF,1,100,0.6308
0.000000,0.000000,1726714071.237811,363219.000,57231,1,SF,1,100,0.6235
0.000000,0.000000,1726714071.504814,363486.000,57271,1,SF,1,100,0.6163
0.000000,0.000000,1726714071.837817,363819.000,57325,1,SF,1,100,0.6091
0.000000,0.000000,1726714072.237821,364219.000,57390,1,SF,1,100,0.6021
0.000000,0.000000,1726714072.504824,364486.000,57439,1,SF,1,100,0.5951
0.000000,0.000000,1726714072.837828,364819.000,57490,1,SF,1,100,0.5882
0.000000,0.000000,1726714073.171831,365153.000,57540,1,SF,1,100,0.5814
0.000000,0.000000,1726714073.571835,365553.000,57605,1,SF,1,100,0.5747
0.000000,0.000000,1726714073.837838,365819.000,57655,1,SF,1,100,0.5681
0.000000,0.000000,1726714074.171842,366153.000,57704,1,SF,1,100,0.5615
0.000000,0.000000,1726714074.570846,366552.000,57771,1,SF,1,100,0.5550
0.000000,0.000000,1726714074.837849,366819.000,57823,1,SF,1,100,0.5486
0.000000,0.000000,1726714075.171852,367153.000,57874,1,SF,1,100,0.5422
0.000000,0.000000,1726714075.504856,367486.000,57922,1,SF,1,100,0.5359
0.000000,0.000000,1726714075.904860,367886.000,57989,1,SF,1,100,0.5297
0.000000,0.000000,1726714076.170863,368152.000,58042,1,SF,1,100,0.5236
0.000000,0.000000,1726714076.504867,368486.000,58090,1,SF,1,100,0.5176
0.000000,0.000000,1726714076.837870,368819.000,58147,1,SF,1,100,0.5116
0.000000,0.000000,1726714077.170874,369152.000,58198,1,SF,1,100,0.5057
0.000000,0.000000,1726714077.570878,369552.000,58263,1,SF,1,100,0.4998
0.000000,0.000000,1726714077.837881,369819.000,58314,1,SF,1,100,0.4940
0.000000,0.000000,1726714078.170884,370152.000,58364,1,SF,1,100,0.4883
0.000000,0.000000,1726714078.570888,370552.000,58429,1,SF,1,100,0.4827
0.000000,0.000000,1726714078.837891,370819.000,58482,1,SF,1,100,0.4771
0.000000,0.000000,1726714079.170895,371152.000,58532,1,SF,1,100,0.4716
