LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
0.000000,0.000000,1726713980.817852,272800.000,42469,4,EM,1,100,PS
0.000000,0.000000,1726713980.868853,272851.000,42503,4,EM,1,100,RS
0.000000,0.000000,1726713980.919853,272902.000,42503,4,EM,1,100,RB
0.000000,0.000000,1726713980.970854,272953.000,42503,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713981.021854,273004.000,42503,4,EM,1,100,PS
0.000000,0.000000,1726713981.072105,273054.250,42534,4,EM,1,100,RS
0.000000,0.000000,1726713981.122355,273104.500,42534,4,EM,1,100,RB
0.000000,0.000000,1726713981.172606,273154.750,42534,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713981.222856,273205.000,42534,4,EM,1,100,PS
0.000000,0.000000,1726713981.273107,273255.250,42570,4,EM,1,100,RS
0.000000,0.000000,1726713981.323357,273305.500,42570,4,EM,1,100,RB
0.000000,0.000000,1726713981.373608,273355.750,42570,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713981.423859,273406.000,42570,4,EM,1,100,PS
0.000000,0.000000,1726713981.474109,273456.250,42604,4,EM,1,100,RS
0.000000,0.000000,1726713981.524360,273506.500,42604,4,EM,1,100,RB
0.000000,0.000000,1726713981.574610,273556.750,42604,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713981.624861,273607.000,42604,4,EM,1,100,PS
0.000000,0.000000,1726713981.675111,273657.250,42637,4,EM,1,100,RS
0.000000,0.000000,1726713981.725362,273707.500,42637,4,EM,1,100,RB
0.000000,0.000000,1726713981.775612,273757.750,42637,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713981.825863,273808.000,42637,4,EM,1,100,PS
0.000000,0.000000,1726713981.876113,273858.250,42669,4,EM,1,100,RS
0.000000,0.000000,1726713981.926364,273908.500,42669,4,EM,1,100,RB
0.000000,0.000000,1726713981.976614,273958.750,42669,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713982.026865,274009.000,42669,4,EM,1,100,PS
0.000000,0.000000,1726713982.077115,274059.250,42702,4,EM,1,100,RS
0.000000,0.000000,1726713982.127366,274109.500,42702,4,EM,1,100,RB
0.000000,0.000000,1726713982.177617,274159.750,42702,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713982.227867,274210.000,42702,4,EM,1,100,PS
0.000000,0.000000,1726713982.278118,274260.250,42734,4,EM,1,100,RS
0.000000,0.000000,1726713982.328368,274310.500,42734,4,EM,1,100,RB
0.000000,0.000000,1726713982.378619,274360.750,42734,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713982.428869,274411.000,42734,4,EM,1,100,PS
0.000000,0.000000,1726713982.479120,274461.250,42770,4,EM,1,100,RS
0.000000,0.000000,1726713982.529370,274511.500,42770,4,EM,1,100,RB
0.000000,0.000000,1726713982.579621,274561.750,42770,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713982.629871,274612.000,42770,4,EM,1,100,PS
0.000000,0.000000,1726713982.680122,274662.250,42801,4,EM,1,100,RS
0.000000,0.000000,1726713982.730372,274712.500,42801,4,EM,1,100,RB
0.000000,0.000000,1726713982.780623,274762.750,42801,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713982.830873,274813.000,42801,4,EM,1,100,PS
0.000000,0.000000,1726713982.881624,274863.750,42835,4,EM,1,100,RS
0.000000,0.000000,1726713982.932375,274914.500,42835,4,EM,1,100,RB
0.000000,0.000000,1726713982.983125,274965.250,42835,4,EM,1,100,2024-09-18_22-46-06-359329.csv
0.000000,0.000000,1726713983.033876,275016.000,42835,4,EM,1,100,PS
0.000000,0.000000,1726713983.084126,275066.250,42867,4,EM,1,100,RS
