EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1855653.000,35691,2,GX,1,100,0.671
1855693.000,35708,3,GX,1,100,0.671
1855733.000,35708,3,GX,1,100,0.671
1855773.000,35708,3,GX,1,100,0.702
1855813.000,35724,2,GX,1,100,0.702
1855853.000,35724,2,GX,1,100,0.732
1855893.000,35742,3,GX,1,100,0.702
1855933.000,35742,3,GX,1,100,0.702
1855973.000,35742,3,GX,1,100,0.702
1856013.000,35756,3,GX,1,100,0.641
1856053.000,35756,3,GX,1,100,0.610
1856093.000,35756,3,GX,1,100,0.671
1856133.000,35773,2,GX,1,100,0.641
1856173.000,35773,2,GX,1,100,0.732
1856213.000,35789,3,GX,1,100,0.763
1856253.000,35789,3,GX,1,100,0.702
1856293.000,35789,3,GX,1,100,0.732
1856333.000,35809,2,GX,1,100,0.702
1856373.000,35809,2,GX,1,100,0.671
1856413.000,35824,3,GX,1,100,0.732
1856453.000,35824,3,GX,1,100,0.763
1856493.000,35824,3,GX,1,100,0.702
1856533.000,35840,2,GX,1,100,0.702
1856573.000,35840,2,GX,1,100,0.671
1856613.000,35857,3,GX,1,100,0.732
1856653.000,35857,3,GX,1,100,0.763
1856693.000,35857,3,GX,1,100,0.641
1856733.000,35874,2,GX,1,100,0.671
1856773.000,35874,2,GX,1,100,0.732
1856813.000,35890,3,GX,1,100,0.702
1856853.000,35890,3,GX,1,100,0.671
1856893.000,35890,3,GX,1,100,0.732
1856933.000,35913,4,GX,1,100,0.702
1856973.000,35913,4,GX,1,100,0.732
1857013.000,35913,4,GX,1,100,0.732
1857053.000,35913,4,GX,1,100,0.641
1857093.000,35927,2,GX,1,100,0.671
1857133.000,35927,2,GX,1,100,0.732
1857173.000,35944,3,GX,1,100,0.702
1857213.000,35944,3,GX,1,100,0.702
1857253.000,35944,3,GX,1,100,0.671
1857293.000,35961,2,GX,1,100,0.702
1857333.000,35961,2,GX,1,100,0.702
