LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
0.000000,0.000000,1726702092.770193,745543.000,53608,3,PG,1,100,628
0.000000,0.000000,1726702092.810193,745583.000,53624,3,PG,1,100,625
0.000000,0.000000,1726702092.850194,745623.000,53624,3,PG,1,100,627
0.000000,0.000000,1726702092.890194,745663.000,53624,3,PG,1,100,622
0.000000,0.000000,1726702092.930195,745703.000,53641,2,PG,1,100,618
0.000000,0.000000,1726702092.970195,745743.000,53641,2,PG,1,100,627
0.000000,0.000000,1726702093.010196,745783.000,53656,3,PG,1,100,619
0.000000,0.000000,1726702093.050196,745823.000,53656,3,PG,1,100,631
0.000000,0.000000,1726702093.090197,745863.000,53656,3,PG,1,100,620
0.000000,0.000000,1726702093.130698,745903.500,53673,2,PG,1,100,617
0.000000,0.000000,1726702093.171198,745944.000,53673,2,PG,1,100,617
0.000000,0.000000,1726702093.210865,745983.667,53689,3,PG,1,100,617
0.000000,0.000000,1726702093.250533,746023.333,53689,3,PG,1,100,620
0.000000,0.000000,1726702093.290200,746063.000,53689,3,PG,1,100,614
0.000000,0.000000,1726702093.330200,746103.000,53707,2,PG,1,100,613
0.000000,0.000000,1726702093.370201,746143.000,53707,2,PG,1,100,610
0.000000,0.000000,1726702093.410202,746183.000,53723,3,PG,1,100,614
0.000000,0.000000,1726702093.450202,746223.000,53723,3,PG,1,100,602
0.000000,0.000000,1726702093.490203,746263.000,53723,3,PG,1,100,616
0.000000,0.000000,1726702093.530203,746303.000,53740,2,PG,1,100,612
0.000000,0.000000,1726702093.570204,746343.000,53740,2,PG,1,100,617
0.000000,0.000000,1726702093.610204,746383.000,53757,3,PG,1,100,625
0.000000,0.000000,1726702093.650205,746423.000,53757,3,PG,1,100,611
0.000000,0.000000,1726702093.690206,746463.000,53757,3,PG,1,100,612
0.000000,0.000000,1726702093.730206,746503.000,53774,2,PG,1,100,626
0.000000,0.000000,1726702093.770207,746543.000,53774,2,PG,1,100,623
0.000000,0.000000,1726702093.810541,746583.333,53789,3,PG,1,100,619
0.000000,0.000000,1726702093.850874,746623.667,53789,3,PG,1,100,614
